,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,heart_disease_mortality_per_100k,health__pct_excessive_drinking
2826,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.47,0.06,0.162,0.032,0.513,0.25,0.182,0.006,0.008,0.983,0.005,0,0.161417323,0.368110236,0.312992126,0.157480315,13,12,0.293,0.425,0.101,0.057,0.303,13,19.44,7660,2959,b,278,0.190931488
2827,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.363,0.089,0.277,0.099,0.527,0.24,0.207,0.035,0.317,0.624,0,0.01,0.17207473,0.399213373,0.272369715,0.156342183,12,13,0.321,0.174,0.138,0.097,0.318,12,30.67,1809,969,b,321,0.112105626
2828,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Farm-dependent,0.549,0.063,0.112,0.093,0.488,0.228,0.207,0.069,0,0.909,0.013,0.003,0.097318769,0.377358491,0.369414101,0.15590864,10,11,0.324,0.146,0.087,0.065,0.246,13,21.96,1959,2580,b,224,0.226576675
2829,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.46,0.061,0.3,0.118,0.515,0.264,0.161,0.098,0.238,0.629,0,0,0.259149357,0.34223541,0.239366963,0.159248269,11,11,0.33,0.273,0.115,0.085,0.3,13,22.39,10930,2219,a,306,0.124092877
2830,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Recreation,0.422,0.074,0.304,0.118,0.509,0.18,0.238,0.017,0,0.962,0.006,0.003,0.191321499,0.382642998,0.255424063,0.17061144,9,13,0.298,0.265,0.127,0.093,0.242,14,23.02,3940,1819,b,235,0.143078972
2831,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.444,0.04,0.313,0.138,0.525,0.244,0.18,0.07,0.124,0.757,0.016,0.003,0.151243781,0.346268657,0.336318408,0.166169154,14,12,0.315,0.228,0.127,0.099,0.321,10,19.43,1900,2160,a,342,0.112619149
2832,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.428,0.044,0.296,0.141,0.503,0.235,0.172,0.187,0.038,0.737,0.01,0.007,0.120445344,0.259109312,0.410931174,0.20951417,11,8,0.285,0.416,0.113,0.063,0.276,9,23.13,6739,1669,a,266,0.183632405
2833,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Farm-dependent,0.475,0.034,0.359,0.167,0.497,0.267,0.154,0.487,0.069,0.436,0.015,0.005,0.27029703,0.336633663,0.248514851,0.144554455,16,8,0.327,0.48,0.118,0.081,0.291,9,31.59,1689,2500,a,272,0.218739661
2834,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.421,0.088,0.276,0.099,0.503,0.223,0.178,0.036,0.089,0.845,0.003,0.002,0.25,0.386,0.231,0.133,11,13,0.265,0.198,0.121,0.091,0.305,13,29.56,4509,3640,b,330,0.097802017
2835,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.588,0.019,0.358,0.205,0.493,0.292,0.139,0.437,0.007,0.541,0.012,0.003,0.24251497,0.29740519,0.266467066,0.193612774,13,9,0.289,0.425,0.096,0.06,0.279,11,31.74,5579,2779,b,295,0.204682824
2836,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.519,0.055,0.187,0.083,0.502,0.219,0.199,0.01,0.023,0.95,0,0,0.13306852,0.401191658,0.28897716,0.176762661,9,9,0.331,0.252,0.116,0.082,0.331,14,110.45,4230,2419,b,248,0.14794004
2837,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.428,0.043,0.342,0.182,0.478,0.293,0.102,0.444,0.012,0.503,0.024,0.022,0.305751766,0.284561049,0.223007064,0.186680121,18,8,0.307,0.166,0.079,0.055,0.321,11,29.7,3669,2360,b,300,0.127207684
2838,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.364,0.115,0.343,0.104,0.499,0.296,0.182,0.902,0.008,0.082,0.01,0.004,0.293307087,0.373031496,0.217519685,0.116141732,16,12,0.289,0.416,0.107,0.123,0.275,8,30.28,7230,7160,a,362,0.179695622
2839,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.496,0.062,0.219,0.105,0.522,0.243,0.197,0.007,0.004,0.964,0,0.002,0.088176353,0.462925852,0.30761523,0.141282565,12,13,0.319,0.112,0.119,0.076,0.287,10,36.33,3210,5579,b,334,0.160318193
2840,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.362,0.102,0.321,0.12,0.532,0.22,0.143,0.03,0.397,0.555,0,0.01,0.291338583,0.367125984,0.218503937,0.123031496,11,12,0.318,0.416,0.134,0.116,0.275,13,21.04,350,2030,b,330,0.130983852
2841,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Recreation,0.523,0.043,0.309,0.236,0.495,0.212,0.2,0.183,0.008,0.79,0.016,0.001,0.112,0.308,0.293,0.287,8,9,0.294,0.416,0.118,0.075,0.283,9,33.64,2689,2650,b,257,0.218826635
2842,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.461,0.067,0.179,0.086,0.507,0.208,0.195,0.006,0,0.975,0.005,0.001,0.104846686,0.486646884,0.262116716,0.146389713,9,8,0.296,0.408,0.106,0.07,0.24,13,32.22,2609,5089,b,270,0.212953249
2843,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.471,0.064,0.22,0.13,0.5,0.27,0.092,0.199,0.078,0.695,0.014,0.015,0.167167167,0.317317317,0.328328328,0.187187187,12,7,0.309,0.48,0.086,0.078,0.295,9,28.21,18210,8879,b,278,0.229622829
2844,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.451,0.084,0.304,0.108,0.507,0.261,0.145,0.119,0.126,0.733,0.004,0.011,0.241414141,0.382828283,0.243434343,0.132323232,14,12,0.262,0.224,0.132,0.09,0.278,13,22.17,4609,5150,b,404,0.116667915
2845,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.559,0.033,0.353,0.215,0.48,0.304,0.11,0.618,0.021,0.337,0.009,0,0.306143001,0.372608258,0.21550856,0.105740181,19,7,0.288,0.376,0.091,0.069,0.289,10,44.1,350,1689,b,344,0.178249743
2846,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.411,0.066,0.228,0.075,0.49,0.23,0.191,0.01,0.009,0.965,0,0.002,0.195320448,0.384537131,0.307222787,0.112919634,12,11,0.32,0.324,0.136,0.084,0.357,14,24.55,9250,2319,a,389,0.13428078
2847,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.327,0.099,0.212,0.046,0.534,0.208,0.205,0,0.419,0.568,0.005,0,0.23100304,0.362715299,0.282674772,0.12360689,11,13,0.401,0.193,0.175,0.114,0.349,13,45.99,2230,2720,a,356,0.106357698
2848,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.543,0.068,0.173,0.088,0.509,0.203,0.171,0.011,0.455,0.518,0,0.005,0.18311292,0.301119023,0.306205493,0.209562564,9,8,0.33,0.208,0.13,0.092,0.276,12,23.53,1239,6930,b,260,0.196570784
2849,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.419,0.033,0.417,0.267,0.508,0.278,0.178,0.31,0.047,0.62,0.019,0.004,0.211693548,0.324596774,0.318548387,0.14516129,9,10,0.3,0.425,0.121,0.074,0.284,10,51.35,1239,1540,b,296,0.169834951
2850,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.435,0.082,0.265,0.094,0.526,0.224,0.18,0.02,0.275,0.693,0.003,0.001,0.233701103,0.35005015,0.291875627,0.124373119,12,14,0.346,0.255,0.128,0.108,0.272,13,23.01,4500,1790,b,408,0.12761384
2851,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.283,0.093,0.221,0.057,0.443,0.191,0.179,0.007,0.031,0.953,0,0,0.248756219,0.421890547,0.249751244,0.07960199,10,8,0.35,0.309,0.112,0.117,0.394,13,36.8,2539,7780,a,244,0.132516015
2852,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.342,0.086,0.183,0.042,0.496,0.229,0.176,0.019,0.353,0.589,0.01,0,0.214428858,0.356713427,0.340681363,0.088176353,16,11,0.331,0.408,0.122,0.107,0.299,13,22.39,3809,3870,a,368,0.164310287
2853,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Nonspecialized,0.431,0.084,0.234,0.079,0.505,0.199,0.23,0.035,0.009,0.931,0.01,0.006,0.188698285,0.3370333,0.306760848,0.167507568,9,12,0.288,0.262,0.116,0.102,0.287,13,23.5,2219,1099,b,282,0.154588601
2854,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.466,0.038,0.181,0.116,0.481,0.359,0.109,0.041,0,0.935,0.009,0.005,0.088442211,0.352763819,0.408040201,0.150753769,19,9,0.288,0.127,0.067,0.067,0.212,13,23.88,2609,1719,b,278,0.150562385
2855,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Mining-dependent,0.501,0.041,0.351,0.178,0.492,0.309,0.1,0.517,0.004,0.461,0.009,0.007,0.251241311,0.294935452,0.306852036,0.146971202,18,7,0.311,0.48,0.089,0.076,0.257,11,32.38,3600,2140,a,346,0.184496418
2856,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.567,0.043,0.224,0.141,0.515,0.233,0.198,0.068,0.01,0.888,0.013,0.003,0.123107972,0.378405651,0.277497477,0.2209889,10,15,0.317,0.204,0.124,0.086,0.366,10,34.48,1380,810,b,307,0.139833062
2857,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.426,0.068,0.222,0.061,0.512,0.224,0.189,0.017,0.011,0.944,0.001,0.008,0.186372745,0.460921844,0.233466934,0.119238477,13,16,0.297,0.293,0.117,0.069,0.351,14,30.84,2940,2609,b,357,0.131934189
2858,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.437,0.062,0.286,0.106,0.454,0.224,0.139,0.147,0.365,0.468,0.012,0.007,0.242544732,0.317097416,0.336978131,0.103379722,10,10,0.318,0.48,0.122,0.113,0.28,12,22.28,2970,10770,b,287,0.218174715
2859,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.343,0.082,0.294,0.107,0.461,0.209,0.155,0.07,0.486,0.432,0,0.005,0.258706468,0.434825871,0.221890547,0.084577114,7,9,0.336,0.425,0.144,0.128,0.305,13,18.93,3570,2419,a,294,0.162145305
2860,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.409,0.111,0.282,0.094,0.513,0.238,0.168,0.025,0.538,0.416,0.001,0.01,0.264880952,0.413690476,0.217261905,0.104166667,11,14,0.375,0.15,0.148,0.129,0.302,13,22.62,4229,2380,b,381,0.123123012
2861,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.454,0.053,0.327,0.115,0.499,0.228,0.241,0.396,0.004,0.561,0.02,0.002,0.167326733,0.430693069,0.300990099,0.100990099,10,13,0.251,0.189,0.098,0.086,0.289,9,44.1,949,1919,a,234,0.18933668
2862,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.414,0.057,0.277,0.094,0.511,0.215,0.172,0.04,0.085,0.836,0.005,0.003,0.252736318,0.387064677,0.235820896,0.124378109,12,13,0.261,0.187,0.114,0.101,0.314,13,30.74,4399,3639,a,330,0.086567471
2863,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.397,0.062,0.21,0.047,0.506,0.225,0.181,0.022,0.008,0.957,0.002,0,0.214851485,0.446534653,0.222772277,0.115841584,10,12,0.305,0.27,0.111,0.103,0.383,13,31.38,7559,7559,a,312,0.10267914
2864,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.477,0.054,0.19,0.082,0.512,0.233,0.156,0.019,0.006,0.963,0.007,0.003,0.133004926,0.443349754,0.273891626,0.149753695,11,12,0.356,0.223,0.115,0.069,0.269,14,19.08,4459,1780,a,330,0.154126023
2865,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.605,0.032,0.128,0.087,0.457,0.208,0.197,0.021,0.004,0.963,0.02,0.001,0.117352056,0.32998997,0.305917753,0.246740221,10,3,0.289,0.416,0.1,0.067,0.282,10,44.1,5020,2419,a,149,0.28822047
2866,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.395,0.071,0.201,0.06,0.5,0.19,0.208,0.039,0,0.94,0.002,0.002,0.206206206,0.412412412,0.251251251,0.13013013,8,16,0.299,0.23,0.14,0.098,0.368,13,11.52,3609,1819,a,359,0.100226448
2867,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.339,0.094,0.269,0.092,0.532,0.232,0.179,0.019,0.376,0.584,0,0.009,0.247247247,0.361361361,0.278278278,0.113113113,11,12,0.327,0.207,0.136,0.123,0.294,13,27.35,8510,5579,b,351,0.114623163
2868,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.365,0.082,0.259,0.087,0.52,0.23,0.211,0.025,0.317,0.622,0.009,0.005,0.172310757,0.397410359,0.272908367,0.157370518,11,13,0.294,0.168,0.142,0.099,0.313,12,33.02,1780,889,a,320,0.113754062
2869,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.489,0.052,0.26,0.134,0.493,0.22,0.196,0.048,0.004,0.928,0.012,0,0.113636364,0.393280632,0.333992095,0.159090909,7,12,0.285,0.425,0.119,0.068,0.33,10,27.49,1609,2680,b,319,0.175232602
2870,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.532,0.03,0.131,0.066,0.517,0.239,0.198,0.052,0,0.916,0.019,0.011,0.136639676,0.356275304,0.322874494,0.184210526,13,11,0.29,0.425,0.085,0.057,0.229,13,25.48,3089,1859,a,209,0.239638275
2871,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.391,0.059,0.304,0.146,0.516,0.199,0.225,0.067,0.17,0.736,0.019,0,0.211382114,0.394308943,0.273373984,0.120934959,9,13,0.317,0.228,0.142,0.093,0.323,10,42.18,4149,6340,a,391,0.123321025
2872,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.385,0.035,0.202,0.158,0.446,0.222,0.212,0.025,0.014,0.943,0.015,0.014,0.064321608,0.348743719,0.428140704,0.15879397,8,11,0.274,0.376,0.087,0.067,0.21,12,44.1,1609,3150,b,154,0.222649783
2873,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.566,0.033,0.186,0.091,0.518,0.19,0.263,0.011,0.009,0.962,0.01,0.002,0.097154073,0.348380765,0.377821394,0.176643768,7,19,0.309,0.1,0.116,0.066,0.304,12,55.08,1270,1269,b,254,0.184394449
2874,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.364,0.092,0.256,0.097,0.498,0.222,0.181,0.046,0.41,0.522,0,0,0.23919598,0.467336683,0.215075377,0.07839196,11,4,0.313,0.425,0.136,0.164,0.292,13,44.1,8190,3150,a,229,0.154123339
2875,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.512,0.031,0.321,0.2,0.506,0.307,0.121,0.593,0.012,0.386,0.023,0.002,0.286860582,0.29889669,0.265797392,0.148445336,20,8,0.294,0.408,0.083,0.082,0.302,9,40.27,8119,3999,b,243,0.178036602
2876,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.415,0.047,0.271,0.161,0.522,0.16,0.328,0.093,0.005,0.877,0.015,0.008,0.119447187,0.272458045,0.330700888,0.27739388,9,15,0.262,0.181,0.136,0.085,0.286,9,17.02,2429,1189,a,203,0.118908002
2877,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.477,0.061,0.232,0.11,0.504,0.256,0.159,0.096,0.014,0.841,0.037,0.006,0.14172448,0.396432111,0.259663033,0.202180377,15,13,0.38,0.251,0.118,0.085,0.331,10,24.91,5829,5810,a,329,0.14427532
2878,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.373,0.075,0.27,0.067,0.507,0.195,0.246,0.025,0.003,0.955,0.013,0,0.154929577,0.392354125,0.285714286,0.167002012,8,14,0.292,0.28,0.129,0.092,0.311,12,35.25,2900,1519,b,310,0.122296456
2879,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.505,0.049,0.219,0.101,0.502,0.238,0.212,0.012,0.008,0.968,0.004,0,0.095332671,0.461767627,0.304865938,0.138033764,12,14,0.336,0.111,0.126,0.092,0.277,10,34.79,3080,2419,a,334,0.162676584
2880,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.499,0.042,0.172,0.058,0.524,0.2,0.176,0.026,0.066,0.864,0.001,0.022,0.112449799,0.301204819,0.312248996,0.274096386,12,11,0.268,0.214,0.111,0.087,0.252,13,10.4,869,709,a,272,0.148618803
2881,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.571,0.036,0.351,0.276,0.489,0.237,0.225,0.007,0,0.984,0.003,0.002,0.077227723,0.436633663,0.335643564,0.15049505,5,7,0.236,0.194,0.075,0.066,0.297,11,42.71,5890,3650,b,192,0.19130929
2882,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Farm-dependent,0.487,0.08,0.16,0.05,0.496,0.21,0.215,0.011,0,0.982,0.008,0,0.094674556,0.429980276,0.322485207,0.152859961,11,10,0.296,0.408,0.106,0.083,0.331,12,51.35,5100,2519,b,310,0.220532009
2883,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.534,0.063,0.162,0.044,0.493,0.193,0.222,0.037,0.007,0.95,0,0,0.089089089,0.437437437,0.314314314,0.159159159,9,13,0.311,0.425,0.114,0.084,0.27,12,27.24,5069,3029,b,267,0.228383363
2884,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.45,0.062,0.295,0.138,0.514,0.232,0.176,0.057,0.133,0.762,0.021,0.018,0.144750255,0.347604485,0.349643221,0.158002039,15,13,0.269,0.229,0.126,0.102,0.312,10,21.24,2019,1920,b,342,0.123456292
2885,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.405,0.081,0.265,0.082,0.525,0.27,0.133,0.032,0.485,0.463,0.004,0.012,0.219681909,0.4055666,0.276341948,0.098409543,14,11,0.325,0.085,0.131,0.137,0.285,13,35.19,11460,2560,a,363,0.086046937
2886,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.399,0.094,0.207,0.083,0.501,0.217,0.176,0.017,0.01,0.936,0.002,0.014,0.137550201,0.420682731,0.298192771,0.143574297,10,13,0.306,0.48,0.136,0.096,0.374,15,35.12,3340,13180,b,369,0.170029094
2887,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Mining-dependent,0.508,0.036,0.313,0.151,0.505,0.256,0.143,0.45,0.047,0.5,0.022,0.002,0.224674022,0.259779338,0.358074223,0.157472417,14,11,0.293,0.155,0.103,0.089,0.294,9,16.8,2369,2540,b,286,0.116977578
2888,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.447,0.078,0.241,0.064,0.495,0.231,0.158,0.016,0.125,0.833,0.019,0.005,0.216080402,0.440201005,0.226130653,0.11758794,12,9,0.366,0.264,0.124,0.082,0.293,10,29.99,4919,1859,a,382,0.146733442
2889,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.374,0.083,0.259,0.063,0.509,0.228,0.193,0.014,0.014,0.956,0,0.005,0.171656687,0.400199601,0.28742515,0.140718563,11,13,0.34,0.198,0.115,0.07,0.323,12,32.19,2610,1799,b,316,0.11208586
2890,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.359,0.057,0.21,0.076,0.434,0.147,0.231,0.007,0.057,0.917,0,0.002,0.128358209,0.391044776,0.302487562,0.178109453,6,15,0.303,0.144,0.13,0.085,0.319,15,110.45,4219,2780,a,284,0.099675556
2891,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.376,0.056,0.283,0.154,0.476,0.23,0.186,0.148,0.165,0.677,0.021,0.006,0.180541625,0.338014042,0.359077232,0.122367101,11,10,0.312,0.21,0.107,0.084,0.261,9,29.04,4910,3250,a,316,0.147372267
2892,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.888,0.039,0.225,0.15,0.456,0.123,0.1,0.202,0,0.753,0.043,0,0.198412698,0.517857143,0.258928571,0.024801587,21,11,0.304,0.425,0.117,0.066,0.265,11,110.45,8190,3150,b,404,0.327102571
2893,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.496,0.068,0.168,0.036,0.505,0.224,0.168,0.009,0,0.984,0,0.002,0.095669688,0.392749245,0.340382679,0.171198389,12,11,0.303,0.425,0.103,0.103,0.291,14,27.66,9659,4850,b,280,0.206920029
2894,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Farm-dependent,0.442,0.059,0.199,0.085,0.509,0.212,0.166,0.016,0.323,0.62,0.011,0.002,0.156186613,0.372210953,0.345841785,0.125760649,9,9,0.343,0.416,0.126,0.104,0.3,12,28.73,11649,11859,a,289,0.211820159
2895,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Nonspecialized,0.499,0.04,0.182,0.123,0.514,0.241,0.209,0.132,0.001,0.826,0.006,0.001,0.033165829,0.304522613,0.345728643,0.316582915,8,4,0.288,0.48,0.113,0.066,0.273,10,110.45,4230,3150,a,325,0.236930623
2896,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Mining-dependent,1,0.027,0.261,0.208,0.475,0.176,0.261,0.364,0.016,0.603,0,0.016,0.234756098,0.286585366,0.324186992,0.154471545,9,10,0.297,0.48,0.116,0.076,0.303,8,55.08,4179,5579,b,242,0.318027072
2897,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.47,0.06,0.237,0.097,0.469,0.254,0.144,0.035,0.041,0.91,0.008,0.004,0.172205438,0.437059416,0.214501511,0.176233635,12,9,0.318,0.425,0.101,0.061,0.307,10,26.92,4220,3129,b,307,0.195637195
