,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,health__pct_excessive_drinking,heart_disease_mortality_per_100k
2993,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.479,0.054,0.236,0.094,0.495,0.281,0.165,0.015,0,0.61,0.355,0.003,0.133064516,0.382056452,0.322580645,0.162298387,18,10,0.362,0.236,0.119,0.058,0.305,12,25.68,1760,1460,b,0.189,279.2511597
2994,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.387,0.047,0.285,0.109,0.475,0.305,0.154,0.028,0.009,0.4,0.528,0.002,0.150346192,0.384767557,0.308605341,0.15628091,22,8,0.348,0.225,0.125,0.066,0.308,11,68.8,4230,3150,a,0.162,258.3792725
2995,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.461,0.063,0.265,0.09,0.508,0.238,0.153,0.107,0.063,0.807,0.006,0.016,0.205050505,0.352525253,0.3,0.142424242,11,10,0.291,0.24,0.118,0.072,0.293,12,17.16,3749,2220,a,0.165,269.3473511
2996,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.429,0.061,0.267,0.116,0.51,0.249,0.175,0.069,0.013,0.754,0.111,0.015,0.140243902,0.339430894,0.340447154,0.179878049,13,12,0.297,0.203,0.137,0.083,0.314,10,23.35,2169,2289,a,0.194,337.2487488
2997,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.397,0.062,0.2,0.046,0.521,0.218,0.15,0.038,0.203,0.732,0,0.011,0.187747036,0.314229249,0.311264822,0.186758893,11,12,0.311,0.243,0.134,0.091,0.323,13,16.54,1910,1560,a,0.197,349.3395691
2999,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.478,0.062,0.179,0.059,0.5,0.235,0.173,0.01,0.017,0.954,0.002,0.004,0.151394422,0.422310757,0.294820717,0.131474104,12,11,0.37,0.296,0.135,0.081,0.341,14,9.66,2079,1989,a,0.061,308.7011414
3000,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.509,0.065,0.155,0.052,0.519,0.237,0.14,0.008,0.031,0.918,0.002,0.006,0.096153846,0.369433198,0.305668016,0.228744939,12,9,0.315,0.239,0.117,0.067,0.267,14,12.55,3220,2259,b,0.267,258.893219
3001,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.546,0.047,0.102,0.045,0.51,0.222,0.193,0.011,0.007,0.976,0,0.007,0.053892216,0.350299401,0.367265469,0.228542914,10,10,0.328,0.109,0.096,0.076,0.287,11,12.67,4189,4149,b,0.121,227.0016479
3002,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.38,0.093,0.253,0.054,0.506,0.203,0.2,0.012,0.004,0.985,0.011,0,0.194251734,0.497522299,0.190287413,0.117938553,11,12,0.323,0.24,0.151,0.088,0.344,13,29.49,3620,2410,a,0.127,279.860321
3008,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.37,0.068,0.271,0.072,0.494,0.197,0.238,0.025,0.015,0.942,0.008,0.007,0.185628743,0.415169661,0.275449102,0.123752495,10,13,0.341,0.313,0.141,0.091,0.288,12,31.41,2820,8509,a,0.144,279.2315674
3011,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.555,0.037,0.125,0.04,0.503,0.208,0.196,0.034,0.011,0.944,0,0.007,0.081735621,0.359233098,0.403632694,0.155398587,10,11,0.307,0.178,0.106,0.049,0.268,12,28.19,3769,3750,a,0.181,264.9190063
3012,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.377,0.072,0.413,0.163,0.488,0.266,0.143,0.429,0.066,0.479,0.014,0.017,0.307768924,0.412350598,0.177290837,0.102589641,14,7,0.359,0.216,0.131,0.081,0.308,11,36.08,4909,3979,b,0.216,238.2521057
3013,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.485,0.052,0.204,0.106,0.509,0.297,0.199,0.028,0.001,0.949,0.004,0.005,0.042239686,0.239685658,0.392927308,0.325147348,7,11,0.288,0.376,0.099,0.066,0.287,13,51.35,3250,5579,b,0.184,214.3153076
3014,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.515,0.05,0.164,0.044,0.516,0.236,0.153,0.017,0.037,0.914,0.002,0.011,0.094905095,0.373626374,0.301698302,0.22977023,12,9,0.309,0.235,0.109,0.074,0.262,14,10.27,2900,2320,a,0.097,255.4721527
3015,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.428,0.066,0.249,0.061,0.515,0.239,0.148,0.029,0.04,0.895,0.009,0.001,0.171,0.377,0.263,0.189,13,10,0.332,0.175,0.101,0.078,0.281,12,22.34,3129,2119,a,0.244,336.9341125
3021,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.52,0.034,0.244,0.118,0.496,0.216,0.238,0.009,0.006,0.978,0,0.008,0.12944664,0.420948617,0.267786561,0.181818182,13,11,0.31,0.188,0.116,0.071,0.353,9,51.35,2430,2419,a,0.085,278.8634949
3022,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.608,0.022,0.24,0.116,0.52,0.193,0.279,0,0.003,0.977,0,0.006,0.062992126,0.397637795,0.377952756,0.161417323,9,14,0.272,0.109,0.098,0.067,0.284,12,55.08,509,2030,b,0.04,257.1502075
3023,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.535,0.063,0.18,0.069,0.506,0.22,0.124,0.152,0.202,0.532,0.02,0.092,0.131262525,0.25250501,0.21743487,0.398797595,11,8,0.254,0.136,0.086,0.08,0.237,11,5.95,1410,979,b,0.086,241.8359528
3024,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.481,0.049,0.206,0.088,0.508,0.277,0.12,0.055,0.219,0.696,0,0.012,0.110453649,0.302761341,0.357988166,0.228796844,12,7,0.332,0.236,0.109,0.082,0.301,13,20.71,2869,3900,b,0.121,299.1157227
3025,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.373,0.05,0.327,0.147,0.477,0.254,0.152,0.106,0.028,0.591,0.261,0.001,0.155015198,0.416413374,0.277608916,0.150962513,14,12,0.352,0.26,0.106,0.08,0.361,10,39.32,5259,3690,b,0.12,366.3027649
3026,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.397,0.06,0.28,0.107,0.488,0.309,0.161,0.022,0,0.393,0.541,0.003,0.15727003,0.386745796,0.300692384,0.15529179,13,8,0.377,0.226,0.156,0.066,0.351,11,84.51,4230,3150,b,0.183,259.9862366
3027,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.36,0.086,0.242,0.061,0.479,0.208,0.157,0.025,0.625,0.321,0.005,0.002,0.246246246,0.404404404,0.252252252,0.097097097,9,14,0.401,0.167,0.15,0.137,0.306,12,27.26,9169,9320,a,0.255,328.2370911
3030,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.438,0.078,0.151,0.037,0.485,0.211,0.194,0.014,0.035,0.926,0.001,0.003,0.126594701,0.355250245,0.355250245,0.162904809,9,13,0.302,0.185,0.085,0.071,0.301,11,18,4909,3690,b,0.11,273.481842
3031,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.502,0.065,0.15,0.062,0.51,0.203,0.191,0.085,0.031,0.855,0.001,0.011,0.110775428,0.390735146,0.280966767,0.217522659,10,13,0.296,0.24,0.119,0.081,0.303,12,12.45,1650,1240,a,0.236,304.5556946
3032,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.457,0.069,0.271,0.173,0.494,0.21,0.18,0.228,0.013,0.691,0.023,0.031,0.133668342,0.277386935,0.382914573,0.206030151,11,12,0.232,0.223,0.097,0.072,0.176,11,9.56,1199,1239,a,0.143,291.739563
3035,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Mining-dependent,0.449,0.062,0.296,0.142,0.374,0.257,0.048,0.032,0.005,0.322,0.521,0.055,0.111665005,0.370887338,0.376869392,0.140578265,17,5,0.342,0.459,0.076,0.068,0.255,8,110.45,1929,3209,a,0.137,203.9757538
3036,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.36,0.091,0.185,0.08,0.501,0.134,0.292,0.03,0.001,0.895,0.018,0.018,0.059642147,0.225646123,0.34194831,0.372763419,6,11,0.259,0.142,0.097,0.046,0.171,11,16.13,1900,1190,b,0.216,180.0853577
3039,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.405,0.14,0.39,0.149,0.486,0.361,0.07,0.011,0.011,0.118,0.821,0.006,0.208205128,0.437948718,0.231794872,0.122051282,22,8,0.321,0.306,0.06,0.049,0.291,9,51.35,839,1100,a,0.064,240.2184448
3042,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Mining-dependent,0.474,0.047,0.117,0.048,0.479,0.215,0.169,0.022,0,0.944,0.025,0.005,0.102306921,0.293881645,0.393179539,0.210631896,13,10,0.301,0.153,0.089,0.074,0.264,10,22.19,1720,1680,b,0.168,244.1493988
3043,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.473,0.051,0.165,0.081,0.505,0.247,0.168,0.006,0.009,0.961,0.006,0.005,0.12611718,0.45183714,0.2591857,0.16285998,11,10,0.305,0.266,0.1,0.061,0.26,13,13.49,9470,1579,a,0.228,268.0838013
3044,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.378,0.078,0.287,0.098,0.507,0.283,0.076,0.107,0.328,0.412,0.095,0.01,0.145748988,0.270242915,0.388663968,0.19534413,19,6,0.343,0.198,0.123,0.092,0.296,12,26.19,10260,16840,a,0.187,288.3590393
3045,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.525,0.031,0.199,0.09,0.476,0.199,0.195,0.104,0.008,0.858,0.009,0.003,0.090998043,0.304305284,0.371819961,0.232876712,11,10,0.277,0.173,0.091,0.085,0.287,13,15.33,3399,1230,a,0.097,227.063736
3047,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.522,0.07,0.207,0.101,0.496,0.183,0.225,0.049,0,0.918,0.021,0,0.091273821,0.367101304,0.379137412,0.162487462,8,12,0.265,0.416,0.101,0.067,0.197,10,44.1,3250,5579,b,0.15,193.4787445
3048,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.442,0.052,0.273,0.105,0.507,0.27,0.147,0.034,0.087,0.868,0.004,0.002,0.232876712,0.417808219,0.243639922,0.105675147,13,10,0.338,0.281,0.113,0.092,0.367,14,30.63,12839,12459,b,0.165,355.0519409
3050,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.509,0.04,0.32,0.159,0.501,0.261,0.15,0.393,0.129,0.466,0.012,0.01,0.240279163,0.331006979,0.288135593,0.140578265,13,10,0.322,0.19,0.109,0.085,0.291,9,25.72,2739,2060,a,0.134,287.0596313
3051,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.491,0.06,0.176,0.034,0.511,0.236,0.145,0.102,0.144,0.723,0.002,0.009,0.118,0.342,0.353,0.187,12,10,0.309,0.27,0.088,0.077,0.268,13,13.21,2329,2209,a,0.156,297.2413025
3052,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.492,0.049,0.358,0.146,0.502,0.277,0.104,0.388,0.214,0.316,0.001,0.065,0.226640159,0.226640159,0.256461233,0.290258449,16,6,0.292,0.152,0.088,0.075,0.229,10,10.19,1329,1559,a,0.258,259.0986023
3054,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.419,0.069,0.261,0.077,0.489,0.257,0.139,0.025,0.12,0.807,0.012,0,0.157630522,0.426706827,0.266064257,0.149598394,14,11,0.331,0.268,0.129,0.096,0.321,10,36.69,5360,2249,b,0.265,359.9376831
3055,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.506,0.059,0.198,0.088,0.507,0.212,0.22,0.004,0.019,0.961,0.012,0.003,0.145098039,0.48627451,0.214705882,0.153921569,13,13,0.315,0.122,0.124,0.052,0.338,10,22.38,5020,5579,b,0.097,316.3789673
3057,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.403,0.071,0.21,0.049,0.513,0.236,0.178,0.038,0.018,0.911,0.004,0.003,0.248991935,0.381048387,0.234879032,0.135080645,12,13,0.367,0.199,0.134,0.093,0.353,14,24.5,4639,2679,a,0.101,321.5242615
3058,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.475,0.031,0.197,0.087,0.497,0.212,0.241,0.008,0.007,0.967,0.002,0.003,0.07360157,0.369970559,0.403336605,0.153091266,8,13,0.334,0.204,0.09,0.076,0.279,13,42.71,8190,5579,b,0.17,199.3929291
3059,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.572,0.025,0.162,0.054,0.504,0.226,0.182,0.018,0.015,0.93,0.024,0.006,0.09561753,0.263944223,0.36752988,0.272908367,13,12,0.331,0.148,0.092,0.063,0.254,12,8.53,1410,1090,a,0.08,250.000946
3060,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.38,0.094,0.239,0.073,0.501,0.288,0.12,0.267,0.033,0.566,0.028,0.075,0.189587426,0.252455796,0.412573674,0.145383104,16,8,0.274,0.169,0.091,0.058,0.204,9,14.97,3329,4859,a,0.183,317.5927429
3061,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.47,0.062,0.153,0.069,0.507,0.215,0.183,0.01,0.004,0.973,0,0,0.118055556,0.507936508,0.231150794,0.142857143,11,13,0.299,0.255,0.137,0.078,0.291,13,16.14,2240,2130,a,0.209,305.5200806
3062,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.471,0.07,0.158,0.076,0.519,0.188,0.171,0.003,0.006,0.972,0.001,0.002,0.110889111,0.474525475,0.215784216,0.198801199,10,11,0.32,0.173,0.118,0.084,0.268,14,22.3,2580,1999,b,0.195,300.157959
3063,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.468,0.052,0.249,0.067,0.488,0.176,0.196,0.04,0.218,0.731,0,0.001,0.192346425,0.500503525,0.207452165,0.099697885,9,8,0.347,0.361,0.131,0.092,0.341,12,28.86,350,5299,a,0.203,297.1201782
3064,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.559,0.047,0.128,0.092,0.5,0.241,0.177,0.121,0.027,0.845,0.009,0.004,0.113226453,0.28256513,0.383767535,0.220440882,14,10,0.288,0.215,0.089,0.065,0.23,13,12.95,1509,880,a,0.083,202.5234833
3065,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.509,0.05,0.239,0.136,0.504,0.242,0.195,0.007,0.005,0.964,0,0.009,0.116831683,0.503960396,0.242574257,0.136633663,12,9,0.334,0.28,0.126,0.082,0.316,9,42.71,1239,3719,a,0.152,253.1205139
3066,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.375,0.089,0.338,0.098,0.512,0.259,0.132,0.082,0.243,0.272,0.391,0.011,0.248031496,0.32480315,0.293307087,0.133858268,13,10,0.399,0.251,0.155,0.116,0.35,12,34.73,4809,2220,a,0.136,323.3232117
3070,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.459,0.046,0.19,0.058,0.519,0.224,0.164,0.032,0.203,0.721,0,0.019,0.108433735,0.286144578,0.348393574,0.257028112,12,11,0.29,0.21,0.132,0.089,0.243,13,9.06,1720,1110,a,0.218,267.2706299
3073,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.521,0.04,0.197,0.096,0.513,0.205,0.211,0.021,0.003,0.97,0.011,0.008,0.151515152,0.429292929,0.263636364,0.155555556,10,13,0.319,0.258,0.11,0.08,0.338,11,28.09,4960,2130,a,0.141,318.5610962
3074,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.451,0.067,0.285,0.136,0.52,0.204,0.251,0.147,0.08,0.728,0.014,0.005,0.122244489,0.30761523,0.294589178,0.275551102,10,10,0.247,0.169,0.113,0.082,0.26,11,16.35,2360,1730,b,0.162,214.8892517
3076,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.41,0.061,0.227,0.069,0.502,0.224,0.171,0.032,0.039,0.919,0,0.004,0.170318725,0.434262948,0.296812749,0.098605578,11,12,0.312,0.26,0.134,0.065,0.344,14,29.67,4819,14310,b,0.133,299.0297852
3077,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.397,0.067,0.292,0.103,0.495,0.221,0.163,0.042,0.071,0.864,0.008,0.007,0.156626506,0.290160643,0.343373494,0.209839357,11,11,0.323,0.228,0.121,0.078,0.287,12,21.21,4159,3179,b,0.119,289.9856567
3079,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Manufacturing-dependent,0.532,0.047,0.177,0.061,0.508,0.239,0.185,0.032,0.018,0.908,0.009,0.007,0.094911937,0.334637965,0.385518591,0.184931507,12,15,0.338,0.191,0.125,0.068,0.281,8,42.09,1949,3330,b,0.24,312.2907104
3080,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.513,0.028,0.165,0.08,0.503,0.202,0.245,0.024,0.001,0.961,0.006,0.002,0.064896755,0.326450344,0.355948869,0.252704031,10,17,0.326,0.161,0.099,0.076,0.283,13,110.45,8190,730,b,0.127,277.1195374
4,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.5,0.061,0.203,0.059,0.525,0.2,0.164,0.013,0.049,0.897,0.007,0.001,0.181636727,0.407185629,0.248502994,0.162674651,11,12,0.285,0.425,0.104,0.058,0.238,13,55.08,1810,6630,b,0.200812028,230.438385
5,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.471,0.05,0.225,0.103,0.511,0.237,0.171,0.025,0.008,0.953,0.003,0,0.122367101,0.413239719,0.306920762,0.157472417,14,12,0.284,0.234,0.137,0.07,0.29,9,29.39,3489,2590,a,0.144013147,333.5227356
6,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.501,0.048,0.212,0.055,0.516,0.207,0.121,0.022,0.046,0.903,0.002,0.006,0.137755102,0.294897959,0.280612245,0.286734694,11,8,0.283,0.22,0.112,0.089,0.272,13,13.74,2439,1540,a,0.126821757,286.239563
10,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.371,0.044,0.241,0.11,0.489,0.347,0.121,0.014,0,0.426,0.546,0.004,0.153694581,0.323152709,0.374384236,0.148768473,21,10,0.332,0.341,0.101,0.073,0.333,9,63.15,3250,5579,a,0.221320777,301.9606018
12,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.432,0.051,0.199,0.044,0.504,0.212,0.195,0.014,0.042,0.915,0.008,0.002,0.204343534,0.356367226,0.296150049,0.143139191,8,13,0.302,0.246,0.144,0.09,0.303,13,23.37,6549,3710,a,0.116632524,298.9226379
14,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.489,0.054,0.26,0.096,0.502,0.229,0.137,0.443,0.015,0.455,0.029,0.058,0.20221328,0.179074447,0.292756539,0.325955734,13,7,0.195,0.11,0.067,0.053,0.142,7,8.78,1330,1289,a,0.18236239,210.6856537
24,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.522,0.053,0.114,0.044,0.496,0.218,0.199,0.016,0,0.956,0.014,0.007,0.094621514,0.435258964,0.298804781,0.171314741,10,14,0.273,0.199,0.105,0.078,0.232,11,17.77,2609,1620,a,0.195949806,276.7825317
33,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.331,0.055,0.292,0.104,0.405,0.197,0.124,0.047,0.612,0.328,0.009,0.002,0.274274274,0.384384384,0.242242242,0.099099099,8,7,0.328,0.416,0.121,0.138,0.287,12,42.71,3259,3249,a,0.21989068,363.7653503
36,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.512,0.07,0.138,0.029,0.502,0.283,0.096,0.158,0.111,0.665,0.001,0.05,0.083503055,0.270875764,0.302443992,0.343177189,11,6,0.322,0.182,0.106,0.086,0.235,13,8.31,2079,1990,b,0.175618307,257.4613342
40,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.321,0.097,0.214,0.09,0.499,0.177,0.267,0.035,0,0.921,0.01,0.003,0.082259663,0.328047572,0.444995045,0.144697721,7,12,0.315,0.159,0.123,0.076,0.226,10,51.35,2019,5579,b,0.166280297,234.411377
46,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.413,0.049,0.318,0.095,0.505,0.271,0.13,0.396,0.02,0.548,0.02,0.009,0.192502533,0.255319149,0.324214792,0.227963526,16,6,0.274,0.231,0.072,0.083,0.286,9,18.57,3580,1569,b,0.166421254,271.7674255
49,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.331,0.076,0.25,0.107,0.411,0.197,0.156,0.097,0.347,0.547,0.009,0,0.255744256,0.376623377,0.265734266,0.101898102,11,11,0.373,0.211,0.138,0.098,0.332,12,31.48,8850,7329,b,0.133924264,300.20755
50,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.495,0.064,0.177,0.051,0.523,0.219,0.139,0.049,0.246,0.658,0.006,0.037,0.112449799,0.320281124,0.28313253,0.284136546,12,9,0.339,0.188,0.11,0.092,0.276,12,14.17,1289,1300,a,0.159896335,312.5522156
51,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.335,0.06,0.233,0.102,0.514,0.27,0.073,0.168,0.155,0.616,0.016,0.016,0.12202381,0.306547619,0.424603175,0.146825397,14,6,0.293,0.162,0.089,0.081,0.258,9,13.6,5919,5460,b,0.137410456,286.3146057
52,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.436,0.065,0.213,0.086,0.482,0.214,0.15,0.027,0.023,0.887,0.011,0.03,0.132734531,0.337325349,0.263473054,0.266467066,11,10,0.329,0.258,0.099,0.075,0.254,10,20.12,2659,999,b,0.165672673,307.8912354
57,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.526,0.045,0.094,0.039,0.511,0.182,0.184,0.015,0,0.96,0,0.005,0.093,0.343,0.274,0.29,9,11,0.288,0.182,0.097,0.058,0.212,11,11.3,1400,1259,a,0.199230323,243.5423584
63,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.389,0.058,0.164,0.059,0.451,0.217,0.108,0.069,0.308,0.564,0.009,0.02,0.117,0.339,0.328,0.216,11,6,0.361,0.251,0.123,0.079,0.257,12,14.05,5319,6150,a,0.194605968,232.7393799
